name,mlbam_id,stand,team
Aaron Judge,592450,R,New York Yankees
Shohei Ohtani,660271,L,Los Angeles Dodgers
Juan Soto,665742,L,New York Yankees
Kyle Schwarber,656941,L,Philadelphia Phillies
Bryce Harper,547180,L,Philadelphia Phillies
Mookie Betts,605141,R,Los Angeles Dodgers
Matt Olson,621566,L,Atlanta Braves
Pete Alonso,624413,R,New York Mets
Yordan Alvarez,670541,L,Houston Astros
Fernando Tatis Jr.,665487,R,San Diego Padres
Ronald Acuna Jr.,660670,R,Atlanta Braves
Freddie Freeman,518692,L,Los Angeles Dodgers
Corey Seager,608369,L,Texas Rangers
Gunnar Henderson,683002,L,Baltimore Orioles
Bobby Witt Jr.,677951,R,Kansas City Royals
Julio Rodriguez,677594,R,Seattle Mariners
Vladimir Guerrero Jr.,665489,R,Toronto Blue Jays
Austin Riley,663586,R,Atlanta Braves
Rafael Devers,646240,L,Boston Red Sox
Jose Ramirez,608070,S,Cleveland Guardians
Francisco Lindor,596019,S,New York Mets
Adolis Garcia,666969,R,Texas Rangers
Marcus Semien,543760,R,Texas Rangers
Ketel Marte,606466,S,Arizona Diamondbacks
Christian Walker,572233,R,Arizona Diamondbacks
Elly De La Cruz,682829,S,Cincinnati Reds
Cody Bellinger,641355,L,Chicago Cubs
Jazz Chisholm Jr.,665862,L,New York Yankees
Byron Buxton,621439,R,Minnesota Twins
Corbin Carroll,682998,L,Arizona Diamondbacks
Anthony Santander,623993,S,Baltimore Orioles
Teoscar Hernandez,606192,R,Los Angeles Dodgers
J.D. Martinez,502110,R,New York Mets
Michael Harris II,671739,L,Atlanta Braves
Seiya Suzuki,673548,R,Chicago Cubs
Ian Happ,664023,S,Chicago Cubs
Nolan Arenado,571448,R,St. Louis Cardinals
Paul Goldschmidt,502671,R,St. Louis Cardinals
Nolan Gorman,669357,L,St. Louis Cardinals
Willson Contreras,575929,R,St. Louis Cardinals
Jordan Walker,691023,R,St. Louis Cardinals
Spencer Steer,668715,R,Cincinnati Reds
TJ Friedl,670770,L,Cincinnati Reds
Christian Yelich,592885,L,Milwaukee Brewers
Willy Adames,642715,R,Milwaukee Brewers
William Contreras,661388,R,Milwaukee Brewers
Jackson Chourio,694192,R,Milwaukee Brewers
Bryan Reynolds,668804,S,Pittsburgh Pirates
Ke'Bryan Hayes,663647,R,Pittsburgh Pirates
O'Neil Cruz,665833,L,Pittsburgh Pirates
Joey Meneses,608841,R,Washington Nationals
CJ Abrams,682928,L,Washington Nationals
Lane Thomas,657041,R,Washington Nationals
Luis Robert Jr.,673357,R,Chicago White Sox
Eloy Jimenez,650391,R,Chicago White Sox
Andrew Vaughn,683734,R,Chicago White Sox
Andrew Benintendi,643217,L,Chicago White Sox
Bo Bichette,666182,R,Toronto Blue Jays
George Springer,543807,R,Toronto Blue Jays
Daulton Varsho,662139,L,Toronto Blue Jays
Spencer Torkelson,679529,R,Detroit Tigers
Riley Greene,682985,L,Detroit Tigers
Kerry Carpenter,681481,L,Detroit Tigers
Salvador Perez,521692,R,Kansas City Royals
Vinnie Pasquantino,686469,L,Kansas City Royals
Maikel Garcia,672580,R,Kansas City Royals
Yainer Diaz,673237,R,Houston Astros
Kyle Tucker,663656,L,Houston Astros
Jose Altuve,514888,R,Houston Astros
Jeremy Pena,665161,R,Houston Astros
Alex Bregman,608324,R,Houston Astros
Josh Naylor,647304,L,Cleveland Guardians
Steven Kwan,680757,L,Cleveland Guardians
Andres Gimenez,665926,L,Cleveland Guardians
Logan O'Hoppe,681351,R,Los Angeles Angels
Mike Trout,545361,R,Los Angeles Angels
Taylor Ward,621493,R,Los Angeles Angels
Brent Rooker,667670,R,Athletics
JJ Bleday,668709,L,Athletics
Luis Arraez,650333,L,San Diego Padres
Jake Burger,669394,R,Miami Marlins
Xander Bogaerts,593428,R,San Diego Padres
Manny Machado,592518,R,San Diego Padres
Jackson Merrill,701538,L,San Diego Padres
Luis Campusano,669134,R,San Diego Padres
Jurickson Profar,595777,S,San Diego Padres
Luis Rengifo,650859,S,Los Angeles Angels
Isaac Paredes,670623,R,Tampa Bay Rays
Jonathan India,663697,R,Cincinnati Reds
Alec Bohm,664761,R,Philadelphia Phillies
Bryson Stott,681082,L,Philadelphia Phillies
Trea Turner,607208,R,Philadelphia Phillies
Max Kepler,596146,L,Minnesota Twins
Carlos Correa,621043,R,Minnesota Twins
Royce Lewis,668904,R,Minnesota Twins
Matt Chapman,656305,R,San Francisco Giants
Heliot Ramos,671218,R,San Francisco Giants
Jung Hoo Lee,808982,L,San Francisco Giants
Anthony Volpe,683011,R,New York Yankees
Giancarlo Stanton,519317,R,New York Yankees
Nick Kurtz,701762,L,Athletics
Brice Turang,668930,L,Milwaukee Brewers
Cal Raleigh,663728,S,Seattle Mariners
Brandon Lowe,664040,L,Pittsburgh Pirates
Brandon Nimmo,607043,L,Texas Rangers
Sal Stewart,701398,R,Cincinnati Reds
Zach Neto,687263,R,Los Angeles Angels
Max Muncy,571970,L,Los Angeles Dodgers
Ben Rice,700250,L,New York Yankees
Nico Hoerner,663538,R,Chicago Cubs
Munetaka Murakami,808959,L,Chicago White Sox
Colson Montgomery,695657,L,Chicago White Sox
James Wood,695578,L,Washington Nationals
Liam Hicks,689414,L,Miami Marlins
Xavier Edwards,669364,S,Miami Marlins
Andy Pages,681624,R,Los Angeles Dodgers
Dalton Rushing,687221,L,Los Angeles Dodgers
Junior Caminero,691406,R,Tampa Bay Rays
Iván Herrera,671056,R,St. Louis Cardinals
Carter Jensen,695600,L,Kansas City Royals
Coby Mayo,691723,R,Baltimore Orioles
Jo Adell,666176,R,Los Angeles Angels
Gary Sánchez,596142,R,Milwaukee Brewers
Jake Bauers,641343,L,Milwaukee Brewers
Dominic Canzone,686527,L,Seattle Mariners
Luke Raley,670042,L,Seattle Mariners
Drake Baldwin,686948,L,Atlanta Braves
Francisco Alvarez,682626,R,New York Mets
Hunter Goodman,696100,R,Colorado Rockies
Ramón Laureano,657656,R,San Diego Padres
Mickey Moniak,666160,L,Colorado Rockies
Matt Wallner,670242,L,Minnesota Twins
Josh Bell,605137,S,Minnesota Twins
Dansby Swanson,621020,R,Chicago Cubs
Moises Ballesteros,694208,L,Chicago Cubs
Marcell Ozuna,542303,R,Pittsburgh Pirates
Ryan O'Hearn,656811,L,Pittsburgh Pirates
Josh Jung,673962,R,Texas Rangers
Kody Clemens,665019,L,Minnesota Twins
Mark Vientos,668901,R,New York Mets
Jorge Soler,624585,R,Los Angeles Angels
Michael Busch,683737,L,Chicago Cubs
Ozzie Albies,645277,S,Atlanta Braves
Miguel Vargas,678246,R,Chicago White Sox
Joey Wiemer,686894,R,Washington Nationals
Patrick Bailey,672275,S,San Francisco Giants
Amed Rosario,642708,R,New York Yankees
Kyle Isbel,664728,L,Kansas City Royals
Daylen Lile,695734,L,Washington Nationals
Ildemaro Vargas,545121,S,Arizona Diamondbacks
Nolan Schanuel,694384,L,Los Angeles Angels
Brett Baty,683146,L,New York Mets
Jahmai Jones,663330,R,Detroit Tigers
Ryan Jeffers,680777,R,Minnesota Twins
Brandon Marsh,669016,L,Philadelphia Phillies
Gavin Sheets,657757,L,San Diego Padres
Evan Carter,694497,L,Texas Rangers
Tristan Gray,656484,L,Minnesota Twins
Carlos Narváez,665966,R,Boston Red Sox
Carson Benge,701807,L,New York Mets
